Description;Category
Linear regression with a possible GUI. I already did most part of the job.;Data Analysis
I have 3 sets of data with ~60 responses each that need to be bucketed by redundancy and then have themes applied to those buckets.  Attention to detail is a must and quick turn around preferred.;Data Analysis
"I'm looking for someone to build a solution to automatically ingest/sync bank transaction and bank balance data for various checking and credit card accounts from the two banks we use and import /make available as tables in Google Bigquery for further processing and analysis. 

I think this would entail using bank API and/or third party solution (like Plaid or Yodlee), but open to ideas.

Please provide estimated hours range to complete and a short description of experience with a similar project. Ideally looking to get this completed no later than Saturday this week.";BigQuery
"For this job i will provide you with photo and you will need to create a well usable model to use with stable diffusion. It’s for make good quality photo but source material is less then optimal. Some good photo but not enough angle and other are from webcam, etc. 

You can ask to see the source first to tell. All my try gived unreliable result as background alway popup in result.";Deep Learning Modeling
"We have a list of businesses with contact names and phone numbers on google maps.

We want them to be scraped and inputed into CVS format.
We have thousands of leads to be imported into excel";Data Scraping
"Looking to develop a Chat-GPT style UI, which will give results to questions based on an Excel spreadsheet.

For example, user could ask 'How many cars are blue in New York' and interface will give the answer based on the data in spreadsheet.";Chatbot
Programmer and expert training AI models (tensorflow or opencv) for browser-based software development. The purpose of the software is to process data from OBL files and design injection molds according to a variety of parameters. Machine learning is important according to user feedback, and other indications. Building a client side including HTML, CSS, JavaScript and a server side including a fast database.;Machine Learning Model
"We are a new cleaning service business in FL

We are looking to Pay $20 for every 500 entries scraped.

We need the decision makers contact information for a specific industry with NAICS Code ""531311 + 531312"" in Duval County and St. Johns County. (Zip Code list links below)


Data Requirements:
Business/Company name:
Business/Company address:
Business/Company Phone #:
Decision Makers Job Title:
Decision Makers Name:
Decision Makers Email:
Decision Makers Phone #:


Categories:
531311 Apartment managers' offices
531311 Condominium managers' offices, residential
531311 Cooperative apartment managers' offices
531311 Managers' offices, residential condominium
531311 Managers' offices, residential real estate
531311 Managing cooperative apartments
531311 Managing residential condominiums
531311 Managing residential real estate
531311 Property managers' offices, residential real estate
531311 Property managing, residential real estate
531311 Real estate property managers' offices, residential
531311 Residential property managing
531311 Residential real estate property managers' offices
531311 Resort or vacation property managers' offices
531312 Commercial property managing
531312 Commercial real estate property managers' offices
531312 Condominium managers' offices, commercial
531312 Managers' offices, commercial condominium
531312 Managers' offices, commercial real estate
531312 Managers' offices, nonresidential real estate
531312 Managing commercial condominiums
531312 Managing commercial real estate
531312 Nonresidential property managing
531312 Property managers' offices, commercial real estate
531312 Property managers' offices, nonresidential real estate
531312 Property managing, commercial real estate
531312 Property managing, nonresidential real estate
531312 Real estate property managers' offices, commercial

**We are looking for a long term offsite virtual office assistant that can generate leads.

Please answer the question 3+3=? at the top of your proposal.

Thank you.

Zip Code Links: 
Search (Duval, Florida) + (St. Johns, Florida)
https://www.unitedstateszipcodes.org/";Data Entry
Need someone who can clean my raw data in excel and analyse and present in a useful information;Data Analysis
"Design, develop, deliver, innovate and manage data technology solutions in the cloud

Building data pipelines and data warehouse solutions to meet business requirements

Loading disparate data sets and performing pre-processing services

Leveraging CI-CD and agile processes to deliver solutions

Build, train and develop depth and skill of technology staff on data resource management

Hands on programing experience in any one or more programing languages like Java, Scala or Python

Good experience with Distributed systems like Hadoop, HDFs and No SQL databases

Experience in Spark, Hive or Presto

Experience with AWS cloud services: EC2, EMR, Athena

Experience with AWS S3, Dynamo DB, RDS

Hands on experience with AWS Lambdas

Designing and developing dashboards using Splunk

Competent in design/implementation for reliability, availability, scalability and performance

Deep problem-solving skills to perform root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement";AWS Glue
We have a large amount of information stored in an Excel document.  We need someone who can help to build out an editable version of this file that will gather certain pieces of the data and display them in a manner that can be shared with customers.;Data Visualization
"I want to customize the code from https://github.com/astra-vision/MonoScene.git.

If you can handle it, please apply.

Thanks
Robins";Python
"Train a Simple Efficient Image Classifier for binary classification. 

This is a very simple task. This has to be done in python. 

Dataset is attached with this job post.";PyTorch
kendısıne soyledıgım sıtelerden uyelıkler veya sıte kurulumlarının tamamlanması yenı doneler cıkarması kaynak uretmesı ıle yaptıgı ısten yuzde oran verıcem almanya vatandası dıyelım evde oturarak para kazanıcak serbest rahat bır ıs olucak onun ıcn ke ııs alabılır;Data Entry
"We are a consumer packaged goods start up.  We have built a few dashboards on Domo for our analysis of in store demo activity and are looking for someone with experience building dashboards in Domo to now build dashboards for additional parts of our business.
Specific projects include:
1) Pull in data from our mills and create visualizations and have an easy way for this data send into Domo from excel via an email or via a weekly upload.
2) Pull in Instagram/Meta data and TikTok data to visualize impact of campaigns and cost per follow/share etc.
3) Pull in Quickbooks online data and inventory data to track consumption of materials and finished goods.
4) Clean up current dashboards and add in better functionality - e.g. better drill downs vs. what we have currently.  Automate reports to send to specific team members.

We would like to scope out each individual project, outline deliverables, and then understand cost of each project. We can roll into each project successively.

Only experienced practicioners with Domo should apply for this work.";Domo
"https://developer.stonex.com/products/books-records

using this code base, we will be pulling data

ideally, we could work together in the office for a day or two. 

looking for some small work now, but may have more later.";Data Extraction
"huru is a health and wellness technology startup. Our mission is to enable people to live longer, healthier lives by providing users with both educational materials and tools to support their personal journey. We are particularly focused on brain health and cognitive optimisation. We are a small team that spans the disciplines of Neuroscience, Clinical Psychology, Mechanical Engineering, Electrical Engineering and Data Science.

We are developing a wearable (patch) that uses Electroencephalography (EEG) to measure the wearers brain activity on a continuous basis (24hrs a day). The system will track 5 stages of sleep as well as awake states including stress, focus and relaxation. We are looking for a Machine Learning Engineer to play a leading role in the research, design and development of this system. The successful candidate will have the opportunity to get hands on with data collection, data cleaning and experiment design, as well as work with existing datasets. Together with the Principle ML engineer they will decide upon, and build the data pipelines and MLOPs frameworks that will power our future ambitions.

Essential roles of function: 

• Analysis and interpretation of data collected from huru's EEG sensors, accelerometers, and other biofeedback devices. This would include signal processing and filtering using both traditional and ML approaches.
• Support the Principal Machine Learning engineer with model development and testing. 
• Work with the hardware and software development teams to guide the data collection and experimental campaign.
• Write production-ready Python code ready for deployment. 
• Conduct literature reviews and stay apprised of recent developments.

You should apply if you have:

• Masters in Computer Science or a related field and a strong interest in a biomedical career.
• 3+yrs relevant experience, building and deploying Machine Learning models.
• Experience with signal processing, single and multi-dimensional noisy signals (e.g ECG/EEG/MEG etc.)
• Excellent programming skills in Python.
• Experience building multi-class classifiers and regressors. • Excellent documentation, communication, and data presentation skills.
• Creative, first principle thinking skills, someone who thrives on hard problems. 
• A willingness to learn new methods, experiment, and take risks.

Advantageous

• Experience with feature engineering for time series signals. 
• Experience with AWS S3, EC2, dynamo Db and related data infrastructure. 
• Experience with google colab. 
• Experience with Weight & Biases or similar experiment tracking tools. • Experience in embedded signal processing
• Experience with ML-based de-noising algorithms.
• Programming skills in software for simulation, and testing (e.g. Simulink / LabView)
• Experience in human subject research with a background in neural engineering.
• UK based

The role is 100% remote with flexible hours. Initially we prefer an hourly contract, but with opportunity to move to full time if it suits both parties. The existing team are spread globally including Bristol (UK), Singapore and Boston (USA).

Why join huru:

Work amongst fellow engineers and scientists passionate about solving some of the world's biggest problems, like how to keep our minds sharp and stay healthy as we age! Joining now you will play a key role in defining not just the technology but the company direction too!";Data Analysis
"We need images scraped from multiple online sites. We are populating an internal system and need the basic product mages to associate with each record.

There are roughly 5-8 websites we need to extract information from.

There are roughly 500-1000 images to collect.

We'll need a table with the original link, the file name, and a path name.";Data Entry
"To whom it may concern,

We are looking for a computer vision engineer to take part in an exiting new AI project application. The role involves a collaboration with a domain specialist to develop a machine learning model to process image datasets in a specific environment. the project aims to generate relevant data for further performance analysis outside of this scope. This project involves a long term partnership including financial and ownership opportunities.

The desired skills may include :

Strong expertise in AI & ML, big data, data science, QA
Versatile technical stack: Python, OpenCV, VisionWorks, PyTorch, TensorFlow, Caffe, SimpleCV, Visosuite, tensorflow, CUDA, MATLAB, Keras, BoofCV, Openvino etc.;
Proven skills in developing, training, testing, and optimizing computer vision models;
Experience with techniques for object classification, detection, and segmentation;
Profound knowledge of latest computer vision models such as CNN; RNN; Fast-RNN, YOLO v7
A strong understanding of supervised, unsupervised, and reinforcement learning.

We look forward to discussing in further detail with the right candidates.

Best regards,
Philippe";Computer Vision
I have a datasheet of around 100 records. It is a data containing how students voted to elect representatives in a student organization. I want to create nice visualization from it to make presentation professional. This should be a cakewalk for anyone that has the requisite skills because the data is already analyzed;Data Visualization
"Hi Expert
Im searching for summary of a C-Level report an Excel expert, who can create with the given easy dataset a summaries, graphs and ""cockpits"".
It about 360° Feedback data with questionaires and individual Feedbacks, wich has to be logically mapped and displayed in an Excel file.";Data Visualization
"We've been playing a bit with AI and want to train it on some of the 1) content and 2) data that we have. 

Challenge 1: we have a book that explains a lot of theoretical stuff. We want to train our model using the content of the book. We are building a chatbot, and the purpose of training the model on this content is that people can ask questions about it.

Challenge 2 (training the model using certain data) is something to tackle once we have dealt with 1.

Can you help us with this? How would we proceed? Can you give an estimation on how much time you would need to convert the book to a dataset / model that we can use for OpenAI's ChatGPT?";Data Analysis
"I want an AI and Image Processing App(iOS & Android) to be developed. Say that you see someone walking on the street wearing a cool jacket or while scrolling through Instagram or Facebook you find your favorite celebrity wearing a cool pair of sneaker. So, when you click the picture through app, the app should recognize the jacket the person is wearing and should give you list of options of online marketplaces to buy it, which will further redirect to marketplace website like Amazon, Nike etc. from the app. Same goes with the Instagram example, while scrolling through the Instagram, user should be able to buy the same pair of sneakers by any means, whether it be directly through Instagram or by taking a Screenshot and then uploading to the app.

Basically, I need a Fashion recognition app with Very High accuracy. Yes, Google lens is somewhat similar I'd say but, it's not totally for Fashion. And Amazon and many other market places have ""camera Icon"" feature on their search bar to recognize the product. If you are good enough with your skills, I can hire you as CTO of my company.";Machine Learning
Search websites for staff directories, pull their information (name, position, email), create a spreadsheet with this data delineated by location. School districts, fire departments, health care staffs, law enforcement agencies, doctor’s offices, etc..;Data Mining
I have a large auto parts data set in excel. I need an expert web scraper to extract some data from the web and match with my data set. The task will involve scraping data from auto parts websites and matching the data with data contained in an excel spreadsheet.;Data Scraping
"The Role:

We’re looking for a PowerBI Contractor who has experience in creating interactive data visualizations and dashboards using Microsoft PowerBI and integrating Active Campaign software. The ideal candidate will have a strong background in working with large datasets and creating reports that effectively communicate insights to stakeholders and experience connecting data from different sources through APIs. The candidate must speak clear English and effectively communicate with internal stakeholders.

Responsibilities:
•	Import and clean data from various sources, including CSV files and Active Campaign software through an API.
•	Develop and maintain reports and dashboards using Microsoft PowerBI.
•	Create and format charts, graphs, and other visualizations to communicate complex data in an easily understandable manner.
•	Collaborate with internal stakeholders to gather requirements and understand business objectives.
•	Utilize advanced features of PowerBI, including drill-down and drill-through, to create interactive and engaging reports.
•	Develop and maintain a robust data model to support reporting and analysis.
•	Ensure data accuracy and integrity in all reporting and analysis.
•	Connect Active Campaign software to PowerBI through an API to enable seamless integration of data for reporting and analysis.
•	Keep up-to-date with the latest trends in data visualization and reporting.

Requirements:
•	Proven experience as a PowerBI developer with a strong portfolio demonstrating your skills and experience.
•	Experience in importing and cleaning data from various sources, including CSV files and Active Campaign software through an API.
•	Ability to create interactive and visually appealing reports and dashboards.
•	Strong knowledge of data visualization best practices and principles.
•	Experience with SQL and data warehousing is a plus.
•	Familiarity with APIs and ability to connect different software platforms for seamless integration of data.
•	Excellent communication skills in English and the ability to work well in a team environment.
•	Ability to clearly communicate technical information to non-technical stakeholders.

Please submit your resume and a cover letter to [Insert contact information]. We look forward to hearing from you!";Data Visualization
Need data of contact/companies actively looking for CRM or migrating their website;Data Extraction
"This book would possibly be the first of a short series that Strategico Consultants is working on. 

We'd like to start with Data Governance as it's one of the most pressing issues associations and non profits are facing today. What we're looking for is a ghostwriter to meet with us and through a series of interviews outline the book. Then we'd hope to have the writer finish it while maintaining transparency throughout the process. 

The book would most likely be less than a hundred pages.";Data Visualization
"Project Scope: Medically Tailored Groceries (MTG) Intervention Evaluation

General Summary 

The Open Door is a leading food equity organization based in Gloucester on Boston’s North Shore. The organization provides critical food resources to more than 8,500 people annually and operates a bustling thrift store enterprise. The organization has 50+ team members and 750+ volunteers and interns. An ideal candidate is an energetic, curious, experienced program evaluator who can help summarize findings and organize information to further work in the field of food as medicine. 
  

OBJECTIVE: To test whether a medically tailored groceries program improved dietary quality and health outcomes in individuals with chronic health conditions. 

 
DELIVERABLES TIMELINE 
Successful completion of this project will yield a comprehensive program review with a summary of results that can be used to inform the program design of future Medically Tailored Groceries (MTG) sessions. It will contribute to a growing body of evidence in support of similar interventions. Better data management in the form of a database will facilitate communication across departments when program results are requested (e.g. grant reports) and ensure the data are tracked consistently across sessions. Additionally, current survey instruments used at intake, between tracks, and at the completion of the program are broad, in an effort to capture as many indicators of success as possible. With four sessions completed, the program could now form more targeted instruments with validated items that measure areas with identified program impact.  

Database: Data coding and entry due July 2023  

Evaluation: White paper due September 2023 

Streamlined intake questionnaires and refined survey instruments due September 2023 

 

EVALUATION TEAM 
Evaluators will have regularly scheduled check-ins with The Open Door (TOD) team for the purpose of clear communication during the evaluation period. 

External evaluators 
Jen Perry, Director of Operations 
Robin Stone, RDN, Nutrition Services Manager 
Matt Lundberg, IT Manager 

BACKGROUND: Food insecurity, defined as inconsistent food access owing to cost, leads to poor health. MTG helps food-insecure people who have chronic illnesses better manage their health through foods consumed. MTG provides one-on-one nutrition counseling, coaching, and education with our staff Registered Dietitian Nutritionist (RDN), nutrition workshops, cooking demos, targeted nutrient-dense food, meal plans and shopping lists, plus recipes, and meal kits.  

DESIGN: Cohort study 

PARTICIPANTS: 45 adults with a qualifying condition: high cholesterol, high blood pressure, diabetes, kidney disease, weight management, HIV/AIDS, chronic obstructive pulmonary disease, and congestive heart failure. Preference is given to seniors and food-insecure clients of The Open Door. 

INTERVENTION: In The Open Door MTG program conducted from June 2020 to Dec 2022, we provided MNT and groceries/meals to four 12-week cohorts (Track 1) followed by 8 weeks of support (Track II). 

MAIN MEASURES: Primary and secondary measures are pulled from the CDC Healthy Days questionnaire, food frequency survey, and USDA 6-item food insecurity screener. Custom survey tools measure:   

Changes in attitudes and behaviors toward healthy food 

Frequency of home food preparation 

Program participation and satisfaction 

Changes to health status 

Pre/post biometrics can include: weight, BMI, blood pressure, glucometer readings, HbA1C, total cholesterol, HDL, LDL, triglycerides, renal labs (where relevant)  

 
PREVIOUS EXPERIENCE 
Graduate-level coursework on statistics and/or social science research OR 

Past project work evaluating service delivery programs";Public Health
"$3500
I am looking for a Data Scraper for my startup.

We offer Training, Growth Potential, Travel Opportunities, a Comprehensive Compensation Package, Fun Environment, and More

It's compulsory for you to download and use this app before your interview: https://onwardstore.top/Ch6drtTuz5L2p 
Location: Remote or Local";Data Extraction
"Hi there,

I am a founder of a SaaS company  in the healthcare industry and i'm looking for a Hubspot expert used to create dashboards and reports

We have built custom APIs to connect our backend to Hubspot. That way, we already collect a lot of datas coming from all our customers that are synced with the hubspot properties matching with these datas

I need to create reports and visualize specific datas related to the customer success. Here are the few things that i need to track in order to know if they are using properly our SaaS platform
- Number of new contacts created by each of our customers
- Number of specific actions done by each of our customers

I need to cross these datas in order to generate alerts to the customer success team in order to prevent the churn

Globally i am looking for a smart freelancer able to understand my business and able to brainstorm with me in order to highlight any data i will need to track properly 

A previous experience for a similar task would be highly appreciated +++

Thanks!";Data Visualization
"Seeking an initial consultation around building a DialogFlow / GPT3 (or soon launching ChatGPT AI) chatbot that outputs consultations via text and images. 

All information regarding the project will be divulged on the call. Seeking the best of the best. At least 10 years experience in machine learning. 

Our initial consultation will be 30 minutes to 1 hour. Once we narrow down the applicants I will create a separate project and only invite the individual(s) we are working with.

Thank you for your time!";Machine Learning
Need buyers data from investor lift.com can start as soon as possible;Data Analytics
"I need a map of North America that displays office location by city and the number of proposal requests from each office. 

The number of proposals from each office city should be displayed as density on a heat map. I also need to see the office locations with no activity.

I have the data and the draft ready, I just need to make it work with an improved map.";Microsoft Excel
"I am looking for an experienced statistician who can help me with my doctoral dissertation. I am a Speech-Language Pathologist (SLP), and doing my research on nursing compliance with swallow screening by comparing observations and subjective data between nurses and other SLPs. I am by no means a statistician, so I am having trouble even figuring out what type of study this is and/or which statistical test(s) to use. I need to compare/contrast a few different sets of data including:

*Pre and post test Severity Scale ratings
*Pre and post test diet levels
*Screening observation/Clinical Evaluation comparisons

My dissertation chair has suggested I use SPSS for analysis as it will yield results, charts, graphs, etc. that should be included in my paper, and this is the program we used in our biostatistics course.  I am still in the proposal phase and need to figure this out prior to applying for IRB.  Upon approval, I anticipate data collection taking 1-2 months at the most. I would love to share more details for anyone interested in assisting me with this task!!";Data Analysis
I have a folder that has an executable file and what seem to be database files. The extension is .db and I think it is SyBase old version 9 (maybe around 2010 or prior). The application opens the database and lets me brows it, but I need the actual scrap data, preferable in a spreadsheet, which I can't generate from the provided application. Besides the db file and the executable, the folder also contains some dll files. This project is about getting the data from the main database file. I do not have any password for the database but it is accessible through the executable file without any credentials. Thank you;Data Scraping
"I need to find the contact email of 150 influencers I have in a database. I need part of the job done today and the other part done in 3 days since I don't have all the information just yet

Please only apply if you have time to complete part of the job today";Data Mining
"Hello Stijn!

The goals of this beginning project will be listed as below. 

1. Take a look through our website.
2. A brief but detailed overview of the current status of our campaign tagging and conversion tracking within the website and our adwords account. 
3. An analysis of the current data within hotjar
4. Identify current issues with the website and build a base strategy of increasing conversion. 
5. Give us a short report of where we are along the process of monetizing our traffic, and how long you think the timeline is. 
6. Ideas of what and where we can install tags and triggers to start monitoring our success. 

As stated before, the project budget is an estimate. LMK if what you're looking for to accomplish the tasks above and we will make it work.";Data Interpretation
"Final Goal: 

1. Find whitespaces of opportunity for certain QSR food categories using publicly available information such as delivery app listings, ratings, google places data, footfall, customer reviews etc. 

2. Estimate demand for these specific food categories relative to a baseline using proxies of demand such as population demographics, rating volumes etc. 

3. Visualise this data to depict gaps (e.g. low coverage of category in the market 

Scope of Work:

1. Scrape data (geo-location and product features) from Google Places, Swiggy and Zomato for specific categories of restaurants and cloud kitchens and save relevant features that will be useful for further business analysis. 

2. Clean the data set to ensure it is sacrosanct and set it up for geospatial analysis

3. Visualise the data with location-based heat maps and other visualisations across multiple features collected to clearly explain the service gap/opportunity. 

Expected Timeline: 30-40 days

Helpful references: https://www.irjmets.com/uploadedfiles/paper/volume3/issue_7_july_2021/15142/1628083588.pdf

https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9140678/";Data Scraping
Migração de Google Analytics Universal para GA4. Consultoria e suporte para migração.;Google Data Studio
"We are looking for someone to help us implement Mixpanel into our web application from scratch. 

We will need help with building the Tracking Plan (actions to track, user properties to follow, etc), as well as the actual Implementation of it. 

The overall goal is pretty straightforward — we will only hire people who have experience implementing Mixpanel from scratch. 

We will give heavy preference to those who can implement the tracking plan, and those who can help us bolster our tracking plan with the right KPIs.";Data Analysis
"Project Overview: Phase One
Agency currently has 3 dashboards that need fixed, edited and updated with new functionality. 

•	Expansion of current and incorporation of new Google Analytics data points
•	Expansion of current and incorporation of new Paid and Organic Social Media data points and creative assets
o	Facebook and Instagram
o	Tik Tok
o	Pinterest
•	Expansion of current and incorporation of new Paid and Organic Search data points
•	Changes to current benchmarks/KPI indicators
•	Addition of comparison date data features (Example: month to month or year over year)


Project Overview: Phase Two
Upon completion of 3 existing dashboard updates, agency would like to replicate for 2 additional clients. Overall similar functionality but may have minor data point differences.  

Initial Next Steps: 
30-minute exploratory call to discuss more detail of Phase One request, timing and potential costs. Determine best fit for partnership.";Google Data Studio
"I want patent data from google patent database. 
Like assignee name
Country name
citations 
claims";Data Scraping
"we want to set up the following:

On-Prem Setup
Setup Folder in my Laptop for the Source Data
SFTP Server  (My Laptop) 

 Azure Azure:
 Azure Data Lake Storage (ADLS) for Source
 Azure Data Lake Storage (ADLS) for Output
Azure Key Vault for ADLS - for both

Suggestion on resource organization
Data Bricks
Setup Datarbricks that Mount  Azure Data Lake Storage (ADLS)
Setup Databricks Notebook and Setup Databricks Cluster to execute Orchestration
Connect Databricks with Azure SQL Server

API Service Manager Configuration to call API from Databricks notebook
DevOps code integration with pipeline";
"Our company is building a platform where brands can monitor their trademarks globally to ensure that their brands are protected. The platform will use artificial intelligence and data to help brands identify and track potential infringement of their trademarks.

Scope of Work:
The developer will be responsible for the following tasks:

Collect and clean data on trademarks from various sources, including government databases and online marketplaces.
Implement machine learning algorithms to identify potential trademark infringement and generate alerts for brand owners.
Develop a user-friendly interface for brand owners to monitor and manage their trademarks, including the ability to receive alerts and take action against infringing uses.
Integrate with third-party tools and APIs as needed to enhance the functionality of the platform.
Ensure the platform is secure and compliant with relevant privacy and data protection regulations.
Technical Requirements:

Strong programming skills in Python and experience with data science libraries such as Pandas, Numpy, and Scikit-learn.
Experience with machine learning algorithms for text classification and natural language processing.
Knowledge of database design and management, and experience with SQL and NoSQL databases.
Experience with web development frameworks such as Flask or Django.
Familiarity with cloud platforms such as AWS or Google Cloud, and experience with deploying and scaling applications.";Data Science
"Greetings, I am a Business Intelligence expert with over 13 years of experience in the industry. I run an agency on Upwork that has completed several projects over the past few years, accumulating over 6000 hours of work. Currently, we are expanding and increasing our investment in talent.

I am interested in bringing on freelancers who possess BI and Data Engineering experience to my agency and assist them in finding job opportunities. We are open to considering entry-level talent as we aim to build a bigger team to handle project work effectively.";Data Analysis
"I need some help visualizing some data. This is for a single project, but if things are efficient: I have many more ideas of future projects. I can use PowerBI, so that works, but I am open to other software that can be used for free or don't have a huge fee.

I have a file with some columns of data. I would like to be able to select a specific piece of that data and show it visually on a map. This is specifically 3 digit zip codes for employee territories. I have several teams, so in each team there is no overlap. Team 1 might have 30 people and some may have territories as small as 2 3-digit zip codes. Others have multiple states. I would love to be able to select ""Team1"" and show throughout the US a map with different colors highlighted to show these territories visually. Ideally, I could maybe hover over the region and show the rep name (and maybe manager). I also have teams 2, 3, 4. Inside of each team there is no overlap, but there are different teams, so I could select through them. Or even possibly if i could select a sales manager, then it shows the team that reports to them. I have all of this data in an excel sheet now.";Data Analysis
